Ref,Val,Package,PosX,PosY,Rot,Side
"D41","SK6812MINI-E","YS-SK6812MINI-E",260.429305,-119.257473,-165.000000,bottom
"D42","SK6812MINI-E","YS-SK6812MINI-E",242.850156,-127.254788,-165.000000,bottom
"D43","SK6812MINI-E","YS-SK6812MINI-E",340.812272,-124.836660,15.000000,bottom
"D44","SK6812MINI-E","YS-SK6812MINI-E",321.795085,-127.467048,15.000000,bottom
"D45","SK6812MINI-E","YS-SK6812MINI-E",302.161567,-127.797344,15.000000,bottom
"D46","SK6812MINI-E","YS-SK6812MINI-E",282.733486,-128.894314,15.000000,bottom
"D47","SK6812MINI-E","YS-SK6812MINI-E",265.359809,-137.658363,15.000000,bottom
"D48","SK6812MINI-E","YS-SK6812MINI-E",247.780668,-145.655660,15.000000,bottom
"D49","SK6812MINI-E","YS-SK6812MINI-E",345.742785,-143.237568,-165.000000,bottom
"D50","SK6812MINI-E","YS-SK6812MINI-E",326.725598,-145.867950,-165.000000,bottom
"D51","SK6812MINI-E","YS-SK6812MINI-E",307.092076,-146.198251,-165.000000,bottom
"D52","SK6812MINI-E","YS-SK6812MINI-E",287.664006,-147.295189,-165.000000,bottom
"D53","SK6812MINI-E","YS-SK6812MINI-E",270.290297,-156.059247,-165.000000,bottom
"D54","SK6812MINI-E","YS-SK6812MINI-E",252.711158,-164.056554,-165.000000,bottom
"D55","SK6812MINI-E","YS-SK6812MINI-E",350.673279,-161.638439,15.000000,bottom
"D56","SK6812MINI-E","YS-SK6812MINI-E",331.656100,-164.268844,15.000000,bottom
"D57","SK6812MINI-E","YS-SK6812MINI-E",312.022573,-164.599121,15.000000,bottom
"D58","SK6812MINI-E","YS-SK6812MINI-E",282.587060,-177.416838,15.000000,bottom
"D59","SK6812MINI-E","YS-SK6812MINI-E",264.046376,-185.096627,30.000000,bottom
"D60","SK6812MINI-E","YS-SK6812MINI-E",248.125135,-197.313439,45.000000,bottom
"D61","SK6812MINI-E","YS-SK6812MINI-E",172.956548,-192.021526,-30.000000,bottom
"D62","SK6812MINI-E","YS-SK6812MINI-E",197.992937,-198.730004,0.000000,bottom
"D63","SK6812MINI-E","YS-SK6812MINI-E",223.029332,-192.021525,30.000000,bottom
"D64","SK6812MINI-E","YS-SK6812MINI-E",197.981549,-217.780499,0.000000,bottom
"D65","1N4148","D_SOD-323",190.700002,-101.961609,-90.000000,bottom
"D66","BAV70","SOT-23-3",77.797204,-77.206098,75.000000,bottom
"D67","BAV70","SOT-23-3",72.866705,-95.606979,75.000000,bottom
"D68","BAV70","SOT-23-3",67.936203,-114.007871,75.000000,bottom
"D69","BAV70","SOT-23-3",63.005692,-132.408755,75.000000,bottom
"D70","BAV70","SOT-23-3",58.084767,-150.773914,75.000000,bottom
"D71","BAV70","SOT-23-3",116.889772,-78.517761,75.000000,bottom
"D72","BAV70","SOT-23-3",111.959270,-96.918647,75.000000,bottom
"D73","BAV70","SOT-23-3",107.028768,-115.319528,75.000000,bottom
"D74","BAV70","SOT-23-3",102.098265,-133.720414,75.000000,bottom
"D75","BAV70","SOT-23-3",102.411535,-159.048535,75.000000,bottom
"D76","BAV70","SOT-23-3",153.260096,-89.988957,75.000000,bottom
"D77","BAV70","SOT-23-3",148.329588,-108.389855,75.000000,bottom
"D78","BAV70","SOT-23-3",143.399090,-126.790738,75.000000,bottom
"D79","BAV70","SOT-23-3",138.468587,-145.191622,75.000000,bottom
"D80","BAV70","SOT-23-3",148.302629,-180.258739,52.500000,bottom
"D81","BAV70","SOT-23-3",317.587208,-74.961294,105.000000,bottom
"D82","BAV70","SOT-23-3",322.519140,-93.367498,105.000000,bottom
"D83","BAV70","SOT-23-3",327.448215,-111.763058,105.000000,bottom
